Price,Date,Close,High,Low,Open,Volume
Ticker,,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
0,2015-09-18,304.67645263671875,309.84118345782616,301.5178531056118,307.3655259283842,6783352
1,2015-09-21,300.7496032714844,306.4692218577216,299.98130061159867,302.20084805268607,2792725
2,2015-09-22,293.4932556152344,303.05441331754196,290.50540647980023,303.05441331754196,4558449
3,2015-09-23,288.4566650390625,292.8104281538849,287.04811502406363,290.2493808252675,4087837
4,2015-09-24,284.2309875488281,289.05424808919264,283.4626849088448,288.45666652192614,9967481
5,2015-09-28,279.6638488769531,286.3224912980378,276.07841714055985,283.5053622328174,5295350
6,2015-09-29,275.4381408691406,278.98090678936774,269.4197458553592,277.4442725404011,7126332
7,2015-09-30,288.41400146484375,289.1823041068461,277.444261963028,281.7126356687112,7251836
8,2015-10-01,289.7798767089844,290.6335398611545,286.4932215416493,289.7371819888247,5093796
9,2015-10-05,295.5848693847656,296.60928255925114,289.6091403201232,291.8713824671479,5969834
10,2015-10-06,297.80438232421875,299.2983216439777,295.0299483644172,297.93243756949823,4610836
11,2015-10-07,292.5116271972656,297.8897746345487,290.54819031050147,297.80441409738046,3635620
12,2015-10-08,291.57257080078125,295.1153073068487,287.6456685609395,293.2372311677181,4770259
13,2015-10-09,296.7373962402344,297.84717017115486,293.023908591515,293.66415611172647,5548083
14,2015-10-12,298.3592834472656,300.57883072171836,296.73731771069527,297.078788745717,2441453
15,2015-10-13,294.9019470214844,300.2374001429642,292.68239944795295,299.72520797460356,2590061
16,2015-10-14,295.6275634765625,298.9142191124329,291.87141038389524,296.60931092916644,3464048
17,2015-10-15,299.85321044921875,301.6885918935448,293.66406626166315,297.078776470789,5514188
18,2015-10-16,298.48736572265625,300.87766318421734,291.1030864414396,296.39587351027774,4598180
19,2015-10-19,310.4814758300781,312.14613636097454,295.3714468884279,301.3471469111772,4334115
20,2015-10-20,308.90216064453125,313.2985893625726,306.89602916187084,309.75585268178446,2588064
21,2015-10-21,317.1401672363281,319.1036042225994,310.65224576791275,310.7803010333445,4434717
22,2015-10-23,306.5545654296875,319.87190715190764,304.3350181114434,319.2743256022351,4452331
23,2015-10-26,300.6642761230469,311.804709288154,296.0970965662424,311.5912934648394,7353435
24,2015-10-27,301.0483703613281,302.79842033333045,297.1641624587498,300.0239572108245,2855148
25,2015-10-28,305.87164306640625,307.10947205929074,299.63983228549927,300.74960601617096,3806874
26,2015-10-29,303.3960266113281,306.4265718772724,297.9325177494402,304.33507939184574,4560952
27,2015-10-30,297.9751892089844,308.0912086420149,294.133646742254,301.34717641574025,3988476
28,2015-11-02,298.9141540527344,300.2373434017822,293.3652861675739,296.65191218171674,2857066
29,2015-11-03,296.780029296875,302.03012197699206,295.28608967494284,299.6825190890311,1670964
30,2015-11-04,295.71295166015625,299.0422731016046,292.98118294529695,297.9324992877885,2412413
